Server Type,Storage Type,Response Type,Test Name,Custom,Req/Connections,Connections,Completed,Failed,Total Time (s),Total transferred (bytes),req/sec,msec/req,msec/req concurrent,KB/sec,Connect mean (ms),Connect std (ms),Processing mean (ms),Processing std (ms),Waiting mean (ms),Waiting std (ms),Total mean (ms),Total std (ms),URL
lb-m1.medium (4),cache,PNG,Hillshade,256x256,500,10,500,0,12.694,17784500,39.39,253.877,25.388,1368.2,40,11.5,211,36.2,133,33.8,251,38,http://lb-medium-4-1950818059.us-east-1.elb.amazonaws.com/hillshade/cache_rast1-small/2/true
lb-m1.medium (4),local,PNG,Hillshade,256x256,500,10,500,0,12.717,17784500,39.32,254.348,25.435,1365.66,40,10.1,212,37.3,135,34.2,252,38.2,http://lb-medium-4-1950818059.us-east-1.elb.amazonaws.com/hillshade/local_rast1-small/2/true
lb-m1.medium (4),block,PNG,Hillshade,256x256,500,10,500,0,13.023,17784500,38.39,260.451,26.045,1333.66,41,12.9,218,37.4,140,34.9,258,40.2,http://lb-medium-4-1950818059.us-east-1.elb.amazonaws.com/hillshade/block_rast1-small/2/true
lb-m1.medium (4),cache,PNG,Hillshade,256x256,500,10,500,0,12.416,17784500,40.27,248.325,24.833,1398.78,40,8.8,206,30.7,129,29.3,247,32.1,http://lb-medium-4-1950818059.us-east-1.elb.amazonaws.com/hillshade/cache_rast1-small/2/true
lb-m1.medium (4),local,PNG,Hillshade,256x256,500,10,500,0,12.326,17784500,40.57,246.516,24.652,1409.05,39,7.1,206,33.2,130,32.6,245,33.7,http://lb-medium-4-1950818059.us-east-1.elb.amazonaws.com/hillshade/local_rast1-small/2/true
lb-m1.medium (4),block,PNG,Hillshade,256x256,500,10,500,0,12.598,17784500,39.69,251.955,25.195,1378.63,40,9.2,210,32.6,133,29.7,250,33.4,http://lb-medium-4-1950818059.us-east-1.elb.amazonaws.com/hillshade/block_rast1-small/2/true
lb-m1.large (4),cache,PNG,Hillshade,256x256,500,10,500,0,10.532,17784500,47.47,210.643,21.064,1649.02,40,9,169,74.1,129,73.6,209,74.6,http://lb-large-4-262195612.us-east-1.elb.amazonaws.com/hillshade/cache_rast1-small/2/true
lb-m1.large (4),local,PNG,Hillshade,256x256,500,10,500,0,9.975,17784500,50.13,199.501,19.95,1741.11,42,12.9,156,20.2,116,18.8,198,24.7,http://lb-large-4-262195612.us-east-1.elb.amazonaws.com/hillshade/local_rast1-small/2/true
lb-m1.large (4),block,PNG,Hillshade,256x256,500,10,500,0,9.82,17784500,50.92,196.395,19.639,1768.65,41,10.8,154,19.7,114,17.9,195,21.8,http://lb-large-4-262195612.us-east-1.elb.amazonaws.com/hillshade/block_rast1-small/2/true
lb-m1.large (4),cache,PNG,Hillshade,256x256,500,10,500,0,9.997,17784500,50.01,199.941,19.994,1737.28,41,12.6,157,27.8,116,21.9,198,30.2,http://lb-large-4-262195612.us-east-1.elb.amazonaws.com/hillshade/cache_rast1-small/2/true
